t_ps,event,calib,p_valid,p_ready,p_data,ld_st,ld_name,ld_busy,ld_out,ui_st,ui_name,ui_out,ui_busy,p_en,p_rdy,p_wren,p_wdf_rdy,app_en,app_rdy,app_wdf_wren,app_wdf_rdy,app_rdv,mux_g,qsc,debug_clear,load_ack,load_reject,reason,agen,ack_d,st_valid_ui
2458506000,LOAD_ACK_FALL,1,0,1,00000000,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,00,ffffffff,0,0
2658644000,DEBUG_CLEAR_FALL,1,0,1,00000000,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2658656000,QSC,1,0,1,00000000,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,00,ffffffff,0,0
2746394000,P_BEGIN,1,1,1,00800001,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,00,ffffffff,0,0
2746406000,LD_ST,1,0,1,00800001,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2786394000,P_FIRE,1,1,1,3149414e,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2826394000,P_FIRE,1,1,1,00010001,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2866394000,P_FIRE,1,1,1,00000001,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2906394000,P_FIRE,1,1,1,0000ffff,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2946394000,P_FIRE,1,1,1,00000001,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2986394000,P_FIRE,1,1,1,00000000,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3146394000,P_FIRE,1,1,1,00000001,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3186394000,P_FIRE,1,1,1,99ad9e68,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3226394000,P_FIRE,1,1,1,01826099,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3266394000,P_FIRE,1,1,1,d4c9916c,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3306394000,P_FIRE,1,1,1,4b05ed1c,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3346394000,P_FIRE,1,1,1,025e9d1c,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3386394000,P_FIRE,1,1,1,b61462d8,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3426394000,P_FIRE,1,1,1,ba99454e,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3466394000,P_FIRE,1,1,1,205a5abd,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3506394000,P_FIRE,1,1,1,8dd9c85f,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3546394000,P_FIRE,1,1,1,a287b1fc,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3586394000,P_FIRE,1,1,1,5f0d8ee1,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3626394000,P_FIRE,1,1,1,4764ac69,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3666394000,P_FIRE,1,1,1,a6386386,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3706394000,P_FIRE,1,1,1,d5c12b61,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3746394000,P_FIRE,1,1,1,990f8cc5,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3786394000,P_FIRE,1,1,1,529208bf,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3826394000,P_FIRE,1,1,1,00000100,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3866394000,P_FIRE,1,1,1,00010080,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3906394000,P_FIRE,1,1,1,3f28bdc0,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
3946394000,P_FIRE,1,1,1,00000000,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
